"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
100654,13,6,17,319,443,1,1,0,2,0,1,15,29,2,0
100654,14,15,4,271,76,1,0,1,0,0,0,6,3,0,0
100654,26,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100654,27,NA,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100654,40,NA,2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100654,52,NA,NA,364,354,NA,NA,NA,NA,NA,NA,6,7,NA,NA
100663,13,5,5,38,181,1,2,1,5,0,4,106,414,2,13
100663,14,31,5,49,27,0,0,12,3,5,2,206,44,5,3
100663,26,11,10,42,190,5,2,26,28,3,6,169,190,11,12
100663,27,1,3,4,11,1,0,0,1,0,0,22,11,0,1
100663,40,5,4,5,22,NA,0,7,2,1,2,57,53,1,2
100663,52,18,13,42,84,2,0,9,8,2,1,249,210,7,7
100706,13,NA,NA,4,21,NA,2,NA,NA,NA,2,14,112,NA,NA
100706,14,53,7,85,51,21,NA,27,17,19,8,755,208,NA,NA
100706,26,NA,6,17,46,NA,2,6,NA,2,2,77,140,NA,1
100706,27,0,1,1,8,NA,NA,NA,NA,NA,NA,22,19,NA,NA
100706,40,1,1,NA,NA,NA,NA,NA,NA,1,NA,51,31,NA,NA
100706,52,42,17,68,128,13,10,27,24,13,8,359,362,0,0
100724,13,NA,NA,244,476,NA,NA,NA,NA,NA,NA,15,27,NA,NA
100724,26,NA,NA,66,168,NA,NA,NA,NA,NA,NA,4,7,NA,NA
100724,27,NA,NA,64,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100724,40,NA,NA,6,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
100724,52,NA,NA,206,269,NA,NA,NA,NA,NA,NA,15,10,NA,NA
100751,13,NA,NA,28,45,NA,NA,NA,NA,NA,NA,162,405,NA,NA
100751,14,37,NA,119,NA,NA,NA,15,NA,NA,NA,795,203,NA,NA
100751,26,NA,NA,12,49,NA,NA,NA,NA,NA,NA,147,164,NA,NA
100751,27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
100751,40,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100751,52,69,38,254,293,NA,NA,18,NA,20,19,2081,1120,NA,NA
100830,13,1,2,60,202,1,2,0,3,3,9,107,341,1,5
100830,26,1,0,25,64,1,1,2,6,3,1,60,106,0,7
100830,27,0,0,20,9,0,0,4,1,3,1,86,10,1,0
100830,40,0,0,11,30,1,1,2,2,0,0,16,38,0,1
100830,52,13,11,128,288,1,3,7,14,4,7,440,390,6,11
100858,13,7,4,44,68,2,4,1,4,4,8,318,1019,2,4
100858,14,31,6,190,102,16,3,46,17,32,7,2596,432,30,2
100858,26,2,1,11,29,1,1,2,7,2,3,183,243,3,3
100858,27,0,0,3,3,0,0,0,0,0,0,29,24,1,1
100858,40,0,1,0,5,0,0,1,1,1,0,51,25,1,0
100858,52,22,18,140,101,6,10,35,25,26,16,2298,1381,15,8
100937,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA
100937,14,NA,NA,1,NA,NA,NA,NA,NA,1,NA,7,4,NA,NA
100937,26,NA,NA,1,4,NA,NA,1,2,NA,NA,27,59,1,NA
100937,27,NA,NA,1,NA,NA,NA,NA,NA,1,NA,16,10,NA,NA
100937,40,1,NA,NA,NA,NA,NA,NA,1,NA,NA,7,4,NA,NA
100937,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA
101073,13,NA,NA,52,260,NA,NA,NA,NA,NA,NA,11,20,NA,NA
101073,52,NA,NA,83,277,NA,NA,NA,NA,NA,NA,15,19,NA,NA
101189,13,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,56,NA,NA
101189,26,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101189,27,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,2,NA,NA
101189,52,NA,NA,70,275,NA,NA,NA,5,NA,NA,206,204,NA,NA
101435,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0
101435,26,0,0,0,3,0,0,0,1,0,0,18,37,0,0
101435,27,0,0,0,0,0,0,0,0,0,0,8,2,0,1
101435,40,0,0,0,1,0,0,0,1,0,0,7,14,0,0
101435,52,1,2,4,4,0,1,0,1,0,0,32,30,0,0
101480,13,1,2,69,124,3,8,1,4,1,3,260,827,3,11
101480,26,1,1,22,47,0,1,4,4,0,2,106,139,0,2
101480,27,1,0,3,4,0,1,0,0,0,0,36,39,0,1
101480,40,0,1,0,2,0,1,0,0,0,0,14,8,0,0
101480,52,7,5,122,125,2,1,9,7,9,8,383,331,5,10
101541,13,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,46,NA,NA
101541,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
101541,27,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
101541,40,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,NA,NA
101541,52,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,36,NA,NA
101587,13,2,1,58,95,0,0,0,0,1,0,48,128,0,0
101587,26,2,2,7,42,0,0,0,0,0,0,20,46,0,0
101587,27,1,0,6,7,0,0,0,0,0,0,13,6,0,0
101587,40,0,0,2,3,0,0,0,0,0,0,5,8,0,0
101587,52,8,6,75,73,1,0,0,0,0,0,93,59,0,0
101675,13,NA,NA,48,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101675,26,NA,NA,51,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101675,27,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101675,40,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101675,52,NA,NA,97,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101693,13,NA,NA,3,52,NA,NA,NA,NA,NA,NA,NA,148,NA,NA
101693,26,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101693,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
101693,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA
101693,52,NA,2,3,19,NA,NA,NA,NA,NA,NA,41,42,7,5
101709,13,0,0,4,28,0,0,0,0,1,0,13,217,0,6
101709,26,1,3,6,30,0,1,0,2,0,1,26,86,0,1
101709,27,2,1,3,8,0,0,0,0,1,0,15,12,0,0
101709,40,1,0,1,1,0,0,0,0,0,0,11,10,1,1
101709,52,7,6,10,29,1,4,2,0,2,3,123,146,5,7
101879,13,NA,NA,46,37,NA,7,NA,NA,NA,6,210,521,13,30
101879,26,2,NA,NA,13,NA,NA,NA,NA,NA,NA,90,124,NA,7
101879,27,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA
101879,40,NA,NA,3,6,NA,NA,NA,NA,NA,NA,40,59,NA,3
101879,52,NA,NA,57,34,NA,NA,4,NA,NA,6,317,331,26,23
101912,13,NA,12,34,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101912,14,0,0,12,3,0,0,0,0,0,0,0,0,0,0
101912,26,4,15,67,171,0,2,2,0,1,2,0,1,2,3
101912,27,4,1,35,15,0,0,0,0,0,0,0,0,1,1
101912,40,1,0,5,12,0,0,0,0,0,0,0,0,0,2
101912,52,4,7,77,81,1,0,0,0,0,1,7,5,2,4
102049,13,2,2,8,22,1,3,0,4,1,1,96,467,1,15
102049,26,1,0,1,6,0,0,1,0,1,0,60,72,1,1
102049,27,0,0,1,0,0,0,1,0,0,0,11,17,0,0
102049,40,0,0,0,1,0,0,0,0,0,0,6,4,0,0
102049,52,5,0,6,7,2,1,1,2,1,3,225,128,3,0
102094,13,4,9,60,218,5,7,2,11,5,7,215,829,NA,NA
102094,14,114,8,69,29,4,0,21,9,7,1,411,75,NA,NA
102094,26,2,9,7,30,3,1,5,5,3,2,87,105,NA,NA
102094,27,0,0,1,4,0,0,0,0,1,0,6,6,NA,NA
