"UNITID","CIPCODE","EFAIANM","EFAIANW","EFBKAAM","EFBKAAW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW","EFNRALM","EFNRALW","DVEFAIM","DVEFAIW"
100654,13,0,1,60,166,0,2,5,11,3,10,0,0,0,1
100654,14,1,0,413,129,6,1,7,2,22,4,6,1,1,1
100654,26,0,1,122,603,0,2,2,0,2,23,2,4,2,1
100654,27,0,0,10,10,0,0,0,0,0,1,0,0,0,0
100654,40,0,0,23,64,1,1,0,0,1,1,1,0,0,0
100654,52,1,2,316,430,3,2,5,5,9,20,5,4,2,1
100663,13,1,1,104,209,8,18,149,374,0,2,1,9,3,19
100663,14,0,2,36,14,12,4,265,110,8,0,16,8,29,15
100663,26,1,7,102,286,24,44,315,586,2,6,19,19,116,173
100663,27,0,1,6,13,4,2,36,35,3,0,3,2,3,4
100663,40,1,1,26,46,8,3,81,78,2,0,2,3,21,18
100663,52,6,6,251,343,54,56,865,725,6,8,30,23,57,59
100690,52,0,0,31,96,3,1,15,11,3,1,0,0,1,1
100706,13,0,0,5,13,3,9,18,152,1,2,1,0,2,1
100706,14,23,4,127,41,105,31,1542,343,55,26,49,18,80,29
100706,26,3,2,15,31,6,17,105,209,6,5,3,4,8,10
100706,27,0,0,4,1,4,4,31,18,0,1,0,0,0,0
100706,40,2,1,12,15,13,8,146,100,8,5,7,2,1,3
100706,52,6,5,52,72,40,26,401,229,15,12,22,9,21,20
100724,13,1,0,221,296,2,2,5,4,0,3,1,1,0,2
100724,14,0,0,10,26,0,0,0,0,2,1,2,2,0,0
100724,26,0,1,78,332,1,4,1,7,0,7,1,3,0,4
100724,27,0,0,27,15,1,0,0,0,0,0,0,0,1,0
100724,40,0,0,18,56,0,1,0,1,0,0,1,0,0,1
100724,52,0,0,231,201,5,3,2,9,1,4,14,6,0,0
100751,13,3,1,93,143,19,59,336,1082,2,2,9,5,2,9
100751,14,9,4,210,83,132,59,2849,937,20,6,307,10,48,22
100751,26,2,3,36,116,15,59,394,782,2,5,4,6,16,16
100751,27,1,0,11,14,6,5,210,131,1,3,6,4,7,3
100751,40,0,0,16,22,12,9,236,158,2,2,7,4,11,4
100751,52,17,12,319,344,273,182,4353,2894,22,14,103,51,61,49
100812,13,0,15,21,85,5,18,121,595,2,20,0,0,0,3
100812,26,1,0,2,1,0,0,21,29,1,3,0,0,0,0
100812,27,1,2,2,3,0,2,19,29,0,0,0,0,0,1
100812,40,0,0,0,0,0,0,7,4,0,0,0,0,0,0
100812,52,3,9,37,131,11,29,303,467,15,20,0,0,6,5
